material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-1025263,Ti2NiS4,134.13341874573607,91.139,53.452,4.123098186899725,-1.4305159009523791,"Ni,S,Ti",3,7,Materials Project
mp-1025318,Co(NiSe2)2,93.26812332733827,95.313,34.882,7.056016623717936,-0.340554676845215,"Co,Ni,Se",3,7,Materials Project
mp-1025219,Ti2VTe4,80.05694568309394,46.041,33.076,6.231071407703514,-0.8437518019047621,"Te,Ti,V",3,7,Materials Project
mp-1025345,Ti2CrTe4,84.50227396275335,49.615,34.742,6.441807915704703,-0.7891145647619041,"Cr,Te,Ti",3,7,Materials Project
mp-1025322,V(CoSe2)2,129.5795940571971,76.389,53.225,6.675855460766227,-0.5228978699880931,"Co,Se,V",3,7,Materials Project
mp-1025281,Ti2NiSe4,104.89858181057163,69.621,41.997,5.934784931918615,-1.202804020863095,"Ni,Se,Ti",3,7,Materials Project
mp-1025323,Dy2Cr2C3,179.94400903545306,160.099,68.541,8.25182163080166,-0.300500644047614,"C,Cr,Dy",3,7,Materials Project
mp-1025291,Ti(NbSe2)2,123.05353851739788,82.772,49.134,6.445513839631316,-1.219024334672618,"Nb,Se,Ti",3,7,Materials Project
mp-1025372,Y2Cr2C3,179.4906420785148,155.926,68.605,5.5974358441962515,-0.28903128357142505,"C,Cr,Y",3,7,Materials Project
mp-1025378,V2FeTe4,79.65886652542373,49.149,32.385,6.915054523570391,-0.446725405238094,"Fe,Te,V",3,7,Materials Project
mp-1071448,CeGaCo,107.79382703660556,87.707,41.614,8.243144145915762,-0.551116544166666,"Ce,Co,Ga",3,6,Materials Project
mp-1095591,Tm3(CuSn)4,122.12218483510625,85.104,48.429,9.349744320728293,-0.47122788636363805,"Cu,Sn,Tm",3,11,Materials Project
mp-1101156,Zr5N5O2,298.7703298098304,222.105,117.091,6.291404942354351,-2.205553236249999,"N,O,Zr",3,12,Materials Project
mp-1103697,Bi2Pd3Se2,31.555802511443467,50.704,11.3,9.519506764525913,-0.37629585187499903,"Bi,Pd,Se",3,14,Materials Project
mp-12004,Er2Al3Si2,159.74606449494289,89.518,66.418,6.05830073255332,-0.569591645238095,"Al,Er,Si",3,7,Materials Project
mp-12005,Tm2Al3Si2,160.04612548046123,90.245,66.441,6.160328114564572,-0.565788572857142,"Al,Si,Tm",3,7,Materials Project
mp-13263,Ce2Mo2C3,203.9287807456611,136.107,81.553,7.942047558040533,-0.369601912857141,"C,Ce,Mo",3,7,Materials Project
mp-13583,Sc2Si2Ru,173.9652641405492,121.632,68.945,4.771727686052025,-0.8603050130000001,"Ru,Sc,Si",3,10,Materials Project
mp-1402513,Mg2TiN2,178.82792393762318,108.953,72.905,3.273611257080958,-1.005114129666667,"Mg,N,Ti",3,10,Materials Project
mp-1400520,Ca2CoN2,95.36597212912608,71.914,37.282,3.630987300244521,-0.7795358645,"Ca,Co,N",3,10,Materials Project
mp-1402707,Mg2MnN2,157.54995465964097,109.74,62.484,3.639229681280635,-0.649470411586207,"Mg,Mn,N",3,10,Materials Project
mp-15885,Li2US3,62.767961650971486,42.596,25.019,4.834260485260484,-1.644625135694449,"Li,S,U",3,12,Materials Project
mp-15397,Ti7Al2O15,224.62108240648016,196.424,85.772,4.161113751830011,-3.3946253211805573,"Al,O,Ti",3,24,Materials Project
mp-21875,Y4GaCo4,80.45286836397277,96.804,29.546,6.220730302732902,-0.282321985277778,"Co,Ga,Y",3,9,Materials Project
mp-17017,Al12Co4Cu,187.57163448375633,122.342,75.362,4.442280817682874,-0.387651981372548,"Al,Co,Cu",3,51,Materials Project
mp-20067,Na5OsO6,92.20586473168592,55.843,37.641,4.741232334173,-1.7899567564080452,"Na,O,Os",3,12,Materials Project
mp-22044,Sm2Ge2Ru,114.45830840450105,88.624,44.545,8.379169975337762,-0.762161818000004,"Ge,Ru,Sm",3,10,Materials Project
mp-2408760,NaCu2O3,54.51743808808057,93.317,19.434,4.966343087153475,-1.175251908563218,"Cu,Na,O",3,12,Materials Project
mp-2650313,Fe2NiSe4,84.77795337822414,76.885,32.205,6.816066806819954,-0.517270872767856,"Fe,Ni,Se",3,7,Materials Project
mp-27512,Cr2NiS4,158.5090488344196,123.11,61.657,4.883169724819354,-0.828262072857142,"Cr,Ni,S",3,7,Materials Project
mp-29618,NiP3W2,267.3633966796362,205.053,104.22,10.133752373826125,-0.416815536071425,"Ni,P,W",3,12,Materials Project
mp-31011,Y2Si2Rh,161.2133707336548,106.197,64.641,5.6982040800324985,-0.9596104779999991,"Rh,Si,Y",3,10,Materials Project
mp-30019,ZrCu2Te3,50.427995160352594,35.784,19.93,6.5465289893401195,-0.7182540791666641,"Cu,Te,Zr",3,12,Materials Project
mp-31017,Ce4B2N5,222.86600420498434,144.347,89.672,7.175965103844989,-1.567803064848484,"B,Ce,N",3,11,Materials Project
mp-28770,Ca2FeN2,107.31194115018853,77.679,42.257,3.52061922608248,-0.859609774,"Ca,Fe,N",3,10,Materials Project
mp-31093,Dy2CoSi2,153.92510938452827,101.89,61.658,7.812303257047886,-0.7248347526666631,"Co,Dy,Si",3,10,Materials Project
mp-3194,Tb2Al3Si2,156.93971522550913,86.815,65.462,5.662815844404774,-0.5871108628571421,"Al,Si,Tb",3,7,Materials Project
mp-31294,Sr2In3Rh2,69.73504714935085,58.384,26.802,7.04410471620136,-0.48096543,"In,Rh,Sr",3,7,Materials Project
