alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength
AlCoCrFeNiTi1.5,160.0,Gorsse,,,,,,,,BCC + Im,6.1,,2220.0
Al1.5CoCrFeNiTi,133.0,Gorsse,,,,,,,,BCC,5.9,,
Al2CoCrFeNiTi,94.0,Gorsse,,,,,,,,BCC,5.6,643.0,
CoCrFeMnNi,219.0,Gorsse,,,,,,,,FCC,8.0,176.0,208.0
CoCrFeMnNiV0.25,215.0,Gorsse,,,,,,,,FCC,7.9,151.0,200.0
CoCrFeMnNiV0.5,211.0,Gorsse,,,,,,,,FCC,7.8,186.0,620.0
Al0.10CoCrFeMnNi,216.0,Gorsse,,,,,,,,FCC,7.9,180.0,
Al0.20CoCrFeMnNi,214.0,Gorsse,,,,,,,,FCC,7.7,171.0,220.0
Al0.38CoCrFeMnNi,209.0,Gorsse,,,,,,,,FCC,7.5,182.0,244.0
Al0.43CoCrFeMnNi,208.0,Gorsse,,,,,,,,FCC + BCC,7.4,183.0,285.0
Al0.49CoCrFeMnNi,206.0,Gorsse,,,,,,,,FCC + BCC,7.4,220.0,331.0
Al0.56CoCrFeMnNi,204.0,Gorsse,,,,,,,,FCC + BCC,7.3,278.0,526.0
Al0.62CoCrFeMnNi,203.0,Gorsse,,,,,,,,FCC + BCC,7.2,405.0,833.0
Al0.68CoCrFeMnNi,202.0,Gorsse,,,,,,,,FCC + BCC,7.2,486.0,
Al0.75CoCrFeMnNi,200.0,Gorsse,,,,,,,,FCC + BCC,7.1,530.0,
Al0.81CoCrFeMnNi,199.0,Gorsse,,,,,,,,FCC + BCC,7.0,539.0,
Al0.88CoCrFeMnNi,197.0,Gorsse,,,,,,,,FCC + BCC,7.0,533.0,
Al0.95CoCrFeMnNi,196.0,Gorsse,,,,,,,,FCC + BCC,6.9,535.0,
Al1.25CoCrFeMnNi,190.0,Gorsse,,,,,,,,BCC,6.6,539.0,
CoCrNi,229.0,Gorsse,,,,,,,,FCC,8.3,,300.0
CoMnNi,202.0,Gorsse,,,,,,,,FCC,8.4,,231.0
FeMnNi,203.0,Gorsse,,,,,,,,FCC,8.1,,221.0
CoCrMnNi,222.0,Gorsse,,,,,,,,FCC,8.1,,282.0
CoFeMnNi,205.0,Gorsse,,,,,,,,FCC,8.2,,170.0
Al0.5CrFe1.5MnNi0.5,206.0,Gorsse,,,,,,,,BCC,7.0,396.0,
Al0.3CrFe1.5MnNi0.5,213.0,Gorsse,,,,,,,,FCC + BCC,7.2,297.0,
AlCrFeNi,190.0,Gorsse,,,,,,,,BCC + B2,6.3,472.0,1406.0
AlCrFeNiMo0.2,197.0,Gorsse,,,,,,,,BCC + B2,6.5,549.0,1487.0
AlCrFeNiMo0.5,205.0,Gorsse,,,,,,,,BCC + B2,6.8,622.0,1749.0
CoCrCuFe,206.0,Gorsse,,,,,,,,FCC,8.2,134.0,
Al0.3CoCrCuFe,194.0,Gorsse,,,,,,,,FCC,7.7,180.0,
Al0.5CoCrCuFe,187.0,Gorsse,,,,,,,,FCC,7.4,207.0,
Al0.8CoCrCuFe,177.0,Gorsse,,,,,,,,FCC + BCC,7.0,271.0,
AlCoCrCuFe,172.0,Gorsse,,,,,,,,FCC + BCC,6.8,407.0,
Al1.3CoCrCuFe,165.0,Gorsse,,,,,,,,FCC + BCC,6.5,476.0,
Al1.5CoCrCuFe,167.0,Gorsse,,,,,,,,FCC + BCC,6.3,510.0,
Al1.8CoCrCuFe,155.0,Gorsse,,,,,,,,FCC + BCC,6.0,557.0,
Al2.0CoCrCuFe,152.0,Gorsse,,,,,,,,FCC + BCC,5.9,567.0,
Al2.3CoCrCuFe,147.0,Gorsse,,,,,,,,FCC + BCC,5.7,603.0,
Al2.5CoCrCuFe,144.0,Gorsse,,,,,,,,FCC + BCC,5.6,624.0,
Al2.8CoCrCuFe,140.0,Gorsse,,,,,,,,BCC,5.5,657.0,
Al3.0CoCrCuFe,138.0,Gorsse,,,,,,,,BCC,5.4,644.0,
CoCrCu0.5FeNi,214.0,Gorsse,,,,,,,,FCC,8.3,172.0,
CoCrCuFeNi,56.0,Gorsse,,,,,,,,FCC,8.3,132.0,230.0
CoCrCuFeNi,206.0,Gorsse,,,,,,,,FCC,8.3,286.0,
CoCrCuFeNiTi0.5,93.0,Gorsse,,,,,,,,FCC,7.8,,700.0
CoCrCuFeNiTi0.5,99.0,Gorsse,,,,,,,,FCC,7.8,,700.0
CoCrCuFeNiTi0.8,128.0,Gorsse,,,,,,,,FCC + Im,7.6,,1042.0
CoCrCuFeNiTi,77.0,Gorsse,,,,,,,,FCC,7.4,,1272.0
Al0.25CoCrCu0.5FeNiTi0.5,198.0,Gorsse,,,,,,,,FCC,7.4,,
Al0.25CoCrCu0.75FeNiTi0.5,103.0,Gorsse,,,,,,,,FCC,7.5,,750.0
